Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
1	Skull aberration correction in ultrasound brain imaging	Mostafa	Sharifzadeh	Concordia University	Brain Stimulation	Sonic/Ultrasound
2	Differential effects of deep brain stimulation and levodopa on brain activity in Parkinson's disease	Karsten	Mueller	Max Planck Institute for Human Cognitive and Brain Sciences	Brain Stimulation	Deep Brain Stimulation
3	Clinical validation of patient-specific STN parcellation using 7T MRI: a DBS lead revision case	Remi	Patriat	University of Minnesota	Brain Stimulation	Deep Brain Stimulation
4	Electroconvulsive therapy treatment responsive multimodal brain networks	Shile	Qi	Tri-institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Brain Stimulation	Direct Electrical/Optogenetic Stimulation
5	Multi-band accelerated TMS/fMRI for continuous EPI during stimulation shows acute 10Hz TMS effects	Martin	Tik	Medical University of Vienna	Brain Stimulation	TMS
6	Transcranial direct-current stimulation enhances dopamine release and attentiveness	Yasuomi	Ouchi	Hamamatsu University School of Medicine	Brain Stimulation	TDCS
7	Longitudinal effects of non-invasive brain stimulation with ultrasound	Eva	Matt	Medical University of Vienna	Brain Stimulation	Sonic/Ultrasound
8	Low Intensity Focused Ultrasound Selectively Increases Regional Perfusion	Bianca	Dang	University of California — Los Angeles	Brain Stimulation	Sonic/Ultrasound
9	Low Intensity Focused Ultrasound: A Possible Non-Invasive Cognitive Neural Prosthetic	Taylor	Kuhn	UCLA	Brain Stimulation	Sonic/Ultrasound
10	Acute Fornix Deep Brain Stimulation Remodels Brain and Improves Memory in Alzheimer's Mouse Model	Daniel	Gallino	Douglas Mental Health Institute	Brain Stimulation	Deep Brain Stimulation
11	Unified approach in TES and IES optimization applied to realistic head models	Mariano	Fernandez Corazza	National University of La Plata - CONICET	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
12	Concurrent fMRI-tACS: subject safety and the data quality evaluation	Beni	Mulyana	Laureate Institute for Brain Research	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
13	Transcranial direct-current stimulation induced changes in neural activity: an fNIRS pilot study	SH Annabel	Chen	Nanyang Technological University	Brain Stimulation	TDCS
14	The Role of Continuous Theta Burst TMS on the Neurophysiology of Stroke: a Multimodal Study	Ana	Dionísio	ICNAS/CIBIT - University of Coimbra	Brain Stimulation	Non-invasive Magnetic/TMS
15	Hypoxia-induced changes in EEG connectivity: effects of somatosensory entrainment	Alejandro	Weinstein	Universidad de Valparaiso	Brain Stimulation	Non-Invasive Stimulation Methods Other
16	DBS Modeling with Boundary Element Fast Multipole Method: Formulation, Test, and a Numerical Example	William	Wartman	Worcester Polytechnic Institute	Brain Stimulation	Deep Brain Stimulation
17	Network-targeting in transcranial direct current stimulation: Inter and intra individual variability	Ghazaleh	Soleimani	Amirkabir University of Technology	Brain Stimulation	TDCS
18	Changes in brain volume following subcallosal cingulate deep brain stimulation for depression	Gavin	Elias	University of Toronto	Brain Stimulation	Deep Brain Stimulation
19	Somatosensory evoked potentials in post-stroke spasticity and their modulation by botulinum toxin	Tomas	Veverka	Palacky University and University Hospital	Brain Stimulation	Non-Invasive Stimulation Methods Other
20	Inputs at the optimum phase of beta cortical oscillations accelerate cortical synaptic transmission	Flavie	Torrecillos	MRC Brain Network Dynamic Unit - University of Oxford	Brain Stimulation	TMS
21	Optogenetic stimulation of the mouse entorhinal cortex reshapes whole brain dynamics	Piergiorgio	Salvan	University of Oxford	Brain Stimulation	Direct Electrical/Optogenetic Stimulation
22	TACS-induced phase-specific modulation of striatal activity in bimanual visuomotor force tracking	Kirstin-Friederike	Heise	KU Leuven	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
23	Effects of sub-threshold transcutaneous auricular vagus nerve stimulation on cerebral blood flow	Conan	Chen	University of California San Diego	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
24	TMS Focality Optimization at the Inner Cortical Surface with Boundary Element Fast Multipole Method	William	Wartman	Worcester Polytechnic Institute	Brain Stimulation	TMS
25	Effects of sub-threshold auricular vagus nerve stimulation on resting state functional connectivity	Conan	Chen	University of California San Diego	Brain Stimulation	Non-invasive Electrical/tDCS/tACS/tRNS
26	Validating target engagement in transcranial direct current stimulation (tDCS) using multimodal MRI	Mayank	Jog	USC / UCLA	Brain Stimulation	TDCS
27	Epidural Temporal Interference Stimulation for Minimally Invasive Electrical Deep Brain Stimulation	Sangjun	Lee	Hanyang University	Brain Stimulation	Direct Electrical/Optogenetic Stimulation
