url,title,category,matched_title,number
https://cdn-akamai.6connex.com/645/1827//OHBM-NVT-2020_HSV_Genetics_final_15921545315151728.pdf,Genetic influences on Hippocampal Subfields: An Emerging Area of Neuroscience ,Genetics,Genetic influences on Hippocampal Subfields: An Emerging Area of Neuroscience Research,595
https://cdn-akamai.6connex.com/645/1827//posterOHBM2020_15912910863334012.pdf,The functional hierarchies of the brain shape communication,Modeling and Analysis Methods,Signal routing via cortical hierarchies,1367
https://cdn-akamai.6connex.com/645/1827//Lia_Chen_OHBM_Poster_200604_15912930454096368.pdf,Differentiated Effects of Aging on Cortical Substrates of Executive Functioning,Higher Cognitive Functions,Differentiated Effects of Normal Aging on Cortical Substrates of Executive Functioning,714
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Poster_ZFC_15912933909757264.pdf,The Organization of Functional Connections Without Direct Structural Links,Modeling and Analysis Methods,The Organization of Functional Connections Without Direct Structural Links,1146
https://cdn-akamai.6connex.com/645/1827//poster_15912952073152435.pdf,Harmonizing Entorhinal Boundaries of Disparate Atlases,Modeling and Analysis Methods,Harmonizing Entorhinal Boundaries of Disparate Atlases: Implications for Alzheimer's MRI Biomarkers,1796
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_Haas_biosignatures_Final_15912980756729461.pdf,Neuroimaging defined psychosis spectrum phenotypes  in the general population,Modeling and Analysis Methods,Neuroimaging defined psychosis spectrum phenotypes in the general population,416
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_poster_OKH_15913456074047927.pdf,Cortical processing of interoceptive prediction errors,"Perception, Attention and Motor Behavior",Cortical processing of interoceptive prediction errors using inspiratory resistive loads,2219
https://cdn-akamai.6connex.com/645/1827//OHMB_2020_Poster_copy_15913015133333716.pdf,Molecular signatures of cognition and affect,Modeling and Analysis Methods,Signatures of functionally interacting genetic assemblies in the human brain.,614
https://cdn-akamai.6connex.com/645/1827//ShileQi_2020OHBMposter_ECT_15913024360263473.pdf,Electroconvulsive therapy treatment responsive multimodal brain networks,Brain Simulation,Electroconvulsive therapy treatment responsive multimodal brain networks,4
https://cdn-akamai.6connex.com/645/1827//ShileQi_2020OHBMposter_disorders_15913025586846392.pdf,The relevance of transdiagnostic shared networks to symptoms and cognition in SZ,Disorders of the Nervous System,The relevance of transdiagnostic shared networks to symptoms and cognition in schizophrenia,160
https://cdn-akamai.6connex.com/645/1827//MXZhang_OHBM_2020605_15913031674418872.pdf,Reduced Microstructural Integrity and Altered Structural Network in CSVD,Disorders of the Nervous System,Reduced Microstructural Integrity and Altered Structural Network in Cerebral Small Vessel Disease,105
https://cdn-akamai.6connex.com/645/1827//PosterOHBM_15913029763273724.pdf,A novel digital reference object for DCE-MRI measurement of subtle BBB leakage,undefined,A novel digital reference object for DCE-MRI measurement of subtle blood-brain barrier leakage,1128
https://cdn-akamai.6connex.com/645/1827//Kessler2020OHBMProsopagnosia_1591304479415854.pdf,A bilateral model of congenital prosopagnosia – connectivity between FFA & ATL,Disorders of the Nervous System,A bilateral model of congenital prosopagnosia â€“ connectivity between FFA and ATL,2273
https://cdn-akamai.6connex.com/645/1827//2020_02_OHBM_poster_v01_15913107628854039.pdf,Rethinking measures of local shape complexity for neuroimaging applications,Modeling and Analysis Methods,Rethinking measures of local shape complexity for neuroimaging applications,1189
https://cdn-akamai.6connex.com/645/1827//poster_-_LingxiLu_15913263663087061.pdf,Neural tracking of rhythmic constructs in imagined speech,Higher Cognitive Functions,Neural Tracking of Rhythmic Constructs in Imagined Speech,659
