url,title,category
https://cdn-akamai.6connex.com/645/1827//OHBM-NVT-2020_HSV_Genetics_final_15921545315151728.pdf,Genetic influences on Hippocampal Subfields: An Emerging Area of Neuroscience ,Genetics
https://cdn-akamai.6connex.com/645/1827//posterOHBM2020_15912910863334012.pdf,The functional hierarchies of the brain shape communication,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Lia_Chen_OHBM_Poster_200604_15912930454096368.pdf,Differentiated Effects of Aging on Cortical Substrates of Executive Functioning,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Poster_ZFC_15912933909757264.pdf,The Organization of Functional Connections Without Direct Structural Links,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//poster_15912952073152435.pdf,Harmonizing Entorhinal Boundaries of Disparate Atlases,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_Haas_biosignatures_Final_15912980756729461.pdf,Neuroimaging defined psychosis spectrum phenotypes  in the general population,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_poster_OKH_15913456074047927.pdf,Cortical processing of interoceptive prediction errors,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//OHMB_2020_Poster_copy_15913015133333716.pdf,Molecular signatures of cognition and affect,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//ShileQi_2020OHBMposter_ECT_15913024360263473.pdf,Electroconvulsive therapy treatment responsive multimodal brain networks,Brain Simulation
https://cdn-akamai.6connex.com/645/1827//ShileQi_2020OHBMposter_disorders_15913025586846392.pdf,The relevance of transdiagnostic shared networks to symptoms and cognition in SZ,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//MXZhang_OHBM_2020605_15913031674418872.pdf,Reduced Microstructural Integrity and Altered Structural Network in CSVD,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//PosterOHBM_15913029763273724.pdf,A novel digital reference object for DCE-MRI measurement of subtle BBB leakage,undefined
https://cdn-akamai.6connex.com/645/1827//Kessler2020OHBMProsopagnosia_1591304479415854.pdf,A bilateral model of congenital prosopagnosia – connectivity between FFA & ATL,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//2020_02_OHBM_poster_v01_15913107628854039.pdf,Rethinking measures of local shape complexity for neuroimaging applications,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//poster_-_LingxiLu_15913263663087061.pdf,Neural tracking of rhythmic constructs in imagined speech,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//OHBM_LX_1566_15913277603548841.pdf,Applying CARE index  model for Identifying Individual Patient Progressing to AD,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_Poster_Zaixu_15913327941503348.pdf,Individual Variation in Functional Topography of Association Networks in Youth,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//poster_522_MBT_ohbm_2020_15913375150498247.pdf,Social perspective taking shapes brain hemodynamic activity and eye-movements,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_2020_Burin_15918388827371344.pdf,Virtual training leads to real cognitive benefits,undefined
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15922340091267382.pdf,The DataLad Handbook,Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_고나연_final_15913433927354341.pdf,Lesion Locations Related with Recovery of Post stroke Dysphagia,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM2020_ePoster_Prakash_et_al_15913439811701656.pdf,Longitudinal tracking of Alzheimer's disease and multi-modal regression models,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//TMS_Navigator_2019_EN_15913482589796353.pdf,Brochure TMS Navigation System,undefined
https://cdn-akamai.6connex.com/645/1827//ZR_Opt_Flow_MREG_OHBM2020_1591879998290514.pdf,Cardiovascular Brain Impulse in Alzheimer's Disease,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_15913549837499151.pdf,Inputs at the optimum phase of beta oscillations accelerate synaptic transmissio,"Physiology, Metabolism and Neurotransmission "
https://cdn-akamai.6connex.com/645/1827//poster_AA_15921477408865496.pdf,Improving the Functional Alignment of fMRI Data Using Spatial Brain Information,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_-_Marturano_15913612114005863.pdf,Probability to Detect an N2pc ERP Component in Individual EEG Datasets,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Building_a_Rare_Disease_Database_for_Natural_History_Studies_15913630295269438.pdf,Building a Rare Disease Database for Natural History Studies,Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//DrenthN_poster_OHBM2020_15913636133132322.pdf,Cerebral Amyloid Angiopathy is Associated with Decreased Functional Connectivity,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//poster_ohbm_2020_15913656561119879.pdf,Cognitive Evaluation in Adult Survivors of Childhood ALL using fMRI,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//TopologyAlcohol_MARTYN2020_1591368032419103.pdf,Neuroanatomical alteration is associated with alcohol use in bipolar disorder,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//pjohnston_ma_poster_15913714954214086.pdf,Electrophysiological Correlates of Audiovisual Binding in Simultaneity Perceptio,"Perception, Attention and Motor Behavior"
https://cdn-akamai.6connex.com/645/1827//OHBM2020_15913715555675722.pdf,Unary classification & PCA feature extraction for generalized fMRI decoding,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Poster_Connectome_15913731361615993.pdf,Structural connectivity loss & gene expression explain dementia risk in PD,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Poster_Controllability_15913731896665303.pdf,Network controllability & regional gene expression explain hallucinations in PD,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//markello_ohbm2020_15913755393088525.pdf,Methodological variability & vibration effects in transcriptomic pipelines,Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_DynamicFC_LEDD_DiezCirarda_2020_15913846854616144.pdf,Dynamic functional connectivity and dopaminergic treatment in Parkinsons disease,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_15913873469803450.pdf,Encoding of Natural Story Reveals Cortical Representation of Semantic Relations,Language
https://cdn-akamai.6connex.com/645/1827//poster_fschaper_OHBM2020_15913881708421145.pdf,Human brain lesions causing epilepsy map to a brain circuit,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Wilkey_Conrad_Price_HBMposter_7Tmvpa_15913919165268544.pdf,Symbolic/nonsymbolic number MVPA at 7T: generalization relates to lower math,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM2020_Doucet_15913928193786828.pdf,Impact of ageing on resting-state networks in 3 cohorts of healthy older adults,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15913933136147678.pdf,Brain States with Covarying Activity-Connectivity in Schizophrenia,undefined
https://cdn-akamai.6connex.com/645/1827//autonomic_arousal_task_and_rest_poster_OHBM_2020_15913942711843216.pdf,Parasympathetic Arousal-Related Activity is Associated with Attention,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//OHBM2020_MuellerSG_15913963083499950.pdf,Mapping internal brainstem structures using MP2RAGE derived T1 weighted and T1 r,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//OHBM_Poster_127_15914158077019713.pdf,Personality Traits are related with Dynamic Functional Connectivity in Major Dep,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Divergence_between_schizophrenia_and_autism_spectrum_disorder_on_brain_function_and_structure_15918613341325652.pdf,Divergence between schizophrenia and autism spectrum disorder,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Tahmasian_OHBM2020_Poster_15914306944668665.pdf,Phenotypic and genetic etiology of sleep duration,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15915155924168322.pdf,Longer screen time and functional connectivity in children with dyslexia,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//OHBM-2020-Haitao_submit_15915765815179371.pdf,Developmental Heatmaps of Brain Functional Connectivity from Newborns to 6-year-,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Cai_poster_15915766569843485.pdf,Functional connectome fingerprinting: Identifying individuals using refined FC,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM2020_poster_wlq_v2_1591587553742284.pdf,Determinants of Gray and White Matter Volume in the Shanghai Changfeng Study,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//poster_2020ohbm_20200601_v.2_15915931478417429.pdf,Connectome-based predictions of processing speed in aging population,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//ohbm_15915936565173840.pdf,Identifying the Eigen-partition of Temporal Functional Brain Networks,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Chantal_Miller_Poster_15915985058889531.pdf,Investigating the laminar profile of predictive signalling in V1 with 7T fMRI,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_Alkemade_15916049308038311.pdf,The multimodal 7 Tesla submillimeter Amsterdam Ultra-high field adult lifespan d,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_poster_15916052749618462.pdf,Brain parcellation driven by dynamic functional connectivity,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Poster_OHBM_2020_PILOT_MIND_15916083260495445.pdf,An MRI pilot study on mindfulness and cognitive impairment after breast cancer,"Emotion, Motivation and Social Neuroscience"
https://cdn-akamai.6connex.com/645/1827//Flyer_BP_Company_OHBM2020final_15923916842774594.pdf,About Brain Products,undefined
https://cdn-akamai.6connex.com/645/1827//BP-621-1520_Flyer_BP_EEG_fMRI_Solution_V007_web_15916118436495419.pdf,EEG & fMRI ,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5030_Flyer_MoBI_Solutions_V003_0320_web_15916122184586336.pdf,Mobile Body Brain Imaging (MoBI),undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5040_Flyer_Sleep_Solutions_V003_0119_web_15916122905649301.pdf,Sleep,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5050_Flyer_Brain_Stimulation_Solutions_V001_0119_web_15916123749101830.pdf,EEG & Brain Stimulation,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5060_Flyer_BCI_V001_0419_web_15916125516371538.pdf,BCI,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5070_Flyer_Infant_EEG_Solutions_V001_0519_web_15916126432401503.pdf,Infant EEG,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-5080_Flyer_BP_EEG_fNIRS_Solution_V001_web_15916127115771711.pdf,EEG & fNIRS,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-2011_Flyer_Analyzer_V008_0719_web_15916131783177356.pdf,BrainVision Analyzer 2 ,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-2012_Flyer_Analyzer_Education_V001_0119_web_15916132516829241.pdf,BrainVision Analyzer Educational Licence,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-0210_Flyer_actiCHamp_Plus_V003_0320_web_15916134645855440.pdf,actiCHamp Plus,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-0215_Flyer_actiCHamp_Upgrade_V001_0119_15916135941852898.pdf,actiCHamp Plus Upgrade Offer,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-0110_Flyer_LiveAmp_V011_web_1591613668479446.pdf,LiveAmp,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-0220_Flyer_PowerUnit_V001_0719_web_15916137668376915.pdf,PowerUnit,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-2061_Flyer_CapTrak_V008_0320_web_15916139266969272.pdf,CapTrak,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-1080_Flyer_actiCAP_snap_V004_0320_web_15916149326643677.pdf,actiCAP slim: The next generation active electrode system,undefined
https://cdn-akamai.6connex.com/645/1827//BP-620-1090_Flyer_RNet_V003_0719_web_15916150060605926.pdf,R-Net: Sponge-based electrode system for research applications,undefined
https://cdn-akamai.6connex.com/645/1827//CGX_Catalogue_2020-05_15916181467606678.pdf,CGX Quick System: Quick and easy to apply dry EEG headset,undefined
https://cdn-akamai.6connex.com/645/1827//poster_GUARNIERI_OHBM_2020_final_15916217849602480.pdf,RT-NET: a software package for neural activity estimation from high-density EEG,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//A_deep_learning_fusion_model_for_brain_disorder_classification_Application_to_distinguishing_schizophrenia_and_autism_spectrum_disorder_15918624305925939.pdf,A deep learning fusion model for brain disorder classification,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//Kelly_OHBM_2020_Poster_1130_15916269499719031.pdf,Dual regression may reduce global signal bias in fMRI functional connectivity,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//2020_OHBM_Vergara_Nicotine_Attractors_15916275608005521.pdf,Attractor dysfunction in fMRI dynamic connectivity related to nicotine abuse,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Warling_OHBM_Poster_2020_15916281520137105.pdf,Altered neuroanatomy-cognition relationships in sex chromosome aneuploidy,"Neuroanatomy, Physiology, Metabolism and Neurotransmission"
https://cdn-akamai.6connex.com/645/1827//2020OHBM_poster_15916282615411950.pdf,Cingulate cortex Zone II plays critical role in attentional system,Higher Cognitive Functions
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916283627803374.pdf,Modeling Cognitive Scores from Normal Aging to Alzheimer’s Disease ,undefined
https://cdn-akamai.6connex.com/645/1827//172-Using_Functional_Networks_to_Classify_Seizure_Onset_Zones_in_Children_with_Focal_Epilepsy_15916287950369240.pdf,Using Functional Networks to Classify Seizure Onset Zones in Children with Focal,Disorders of the Nervous System
https://cdn-akamai.6connex.com/645/1827//MR-Short_pitch_15916296919799960.pdf,Siemens Healthineers Magnetic Resonance - About us,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//MR_syngo_Neuro_Trendsetting_applications_15916308801848056.pdf,Trendsetting applications in Neurology,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//MR_syngo_Neuro_Tim4G_BioMatrix_Coils_Speed_in_acuqisition_15916309904105214.pdf,Neuro imaging - Speed in acquisition and coils,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//MR_syngo_Neuro_syngo-via_and_Frontier_15916310731793127.pdf,Post processing with syngo.via and syngo.via Frontier,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//OHBM2020_2060_15916318469298973.pdf,Real-Time Z-Shimming for Magnetic Resonance Imaging of the Spinal Cord,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//MR_MAGNETOM_Vida_Congress_Pitch_15916345310802125.pdf,MAGNETOM Vida - Embrace human nature at 3T,Novel Imaging Acquisition Methods
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_poster_Muzik_15916357680074418.pdf, Relationship between functional connectivity and glucose metabolic rate assesse,"Physiology, Metabolism and Neurotransmission "
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_Iannopollo_Garcia_15916407136509464.pdf,Enhanced Detection of Cortical Degeneration using Surface Strain Minimization,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//20_OHBM_poster_V_15916412142344878.pdf,"NIH Funded NITRCâ€™s Triad of Services: Software, Data, Compute",Neuroinformatics and Data Sharing
https://cdn-akamai.6connex.com/645/1827//ChechlaczOHBM2020_15916441606165935.pdf,The Association between Poor Sleep and Accelerated Brain Ageing in Older Adults,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//Nan_Poster_OHBM-2020_15916459904337575.pdf,Investigation of spatiotemporal functional interactivity among large-scale brain,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//esfahlani_ohbm2020_1591646773905631.pdf,High-amplitude co-fluctuations in cortical activity drive resting-state function,Modeling and Analysis Methods
https://cdn-akamai.6connex.com/645/1827//Website_15916470671973890.pdf,test,undefined
https://cdn-akamai.6connex.com/645/1827//OHBMPosterCC_15916490903822880.pdf,Age- and Sex-Specific Influence of T-C Ratio on Cortico-Hippocampal Development,Lifespan Development
https://cdn-akamai.6connex.com/645/1827//OHBM_2020_15916498057517861.pdf,Functional Connectivity Patterns between Hippocampi and Language Cortex in TLE,Language
